Name,Country,Age,Position,Minutes played,Appearances,Lneups,Substitute in,Substitute out,Substitutes on bench,Goal,Assist,Yellow card,Yellow 2nd_RC,Red card
G. Svensson,Suecia,31,M,134,3,1,2,0,3,0,0,0,0,0
S. Larsson,Suecia,33,M,179,4,2,2,2,2,0,0,0,0,0
A. Ekdal,Suecia,28,M,128,2,2,0,2,0,0,0,0,0,0
J. Durmaz,Suecia,29,M,166,2,2,0,2,2,0,0,1,0,0
E. Forsberg,Suecia,26,M,254,3,3,0,2,1,0,0,0,0,0
O. Hiljemark,Suecia,25,M,199,4,2,2,0,2,0,0,0,0,0
V. Claesson,Suecia,26,M,187,3,2,1,0,2,0,1,0,0,0
M. Rohd�n,Suecia,27,M,30,2,0,2,0,2,0,0,0,0,0
A. Fransson,Suecia,24,M,87,1,1,0,1,1,0,0,0,0,0
K. Sema,Suecia,24,M,101,2,1,1,0,2,0,0,0,0,0
M. Berg,Suecia,31,A,248,4,3,1,1,1,0,0,0,0,0
O. Toivonen,Suecia,31,A,250,4,3,1,2,1,1,0,0,0,0
J. Guidetti,Suecia,26,A,87,1,1,0,1,3,0,0,0,0,0
I. Thelin,Suecia,25,A,110,3,1,2,1,2,0,0,0,0,0
Kim Seung-Gyu,Corea del Sur,27,G,496,6,6,0,1,3,0,0,0,0,0
Kim Jin-Hyeon,Corea del Sur,30,G,44,1,0,1,0,6,0,0,0,0,0
Cho Hyun-Woo,Corea del Sur,26,G,270,3,3,0,0,6,0,0,0,0,0
Kim Dong-Jun,Corea del Sur,23,G,0,0,0,0,0,3,0,0,0,0,0
Choi Chul-Soon,Corea del Sur,31,D,134,2,1,1,0,4,0,1,1,0,0
Park Joo-Ho,Corea del Sur,31,D,253,4,3,1,1,3,0,2,0,0,0
Kim Young-Gwon,Corea del Sur,28,D,316,4,4,0,1,3,0,0,0,0,0
Hong Jeong-Ho,Corea del Sur,28,D,46,1,1,0,1,1,0,0,0,0,0
Kim Jin-Su,Corea del Sur,26,D,192,3,3,0,2,1,0,0,1,0,0
Yun Young-Sun,Corea del Sur,29,D,221,4,2,2,2,7,0,0,0,0,0
Hong Chul,Corea del Sur,27,D,169,3,2,1,1,5,0,1,0,0,0
Kim Tae-Hwan,Corea del Sur,28,D,90,2,1,1,0,2,0,0,0,0,0
Lee Yong,Corea del Sur,31,D,419,6,5,1,1,1,0,0,0,0,0
Oh Ban-Suk,Corea del Sur,30,D,65,2,1,1,1,3,0,0,0,0,0
Jang Hyun-Soo,Corea del Sur,26,D,475,6,5,1,1,2,0,0,0,0,0
Kwon Kyung-Won,Corea del Sur,26,D,44,1,0,1,0,2,0,0,0,0,0
Jung Seung-Hyun,Corea del Sur,24,D,183,4,2,2,1,5,0,0,0,0,0
Kim Min-Jae,Corea del Sur,21,D,315,5,4,1,1,1,0,0,0,0,0
Yeom Ki-Hun,Corea del Sur,35,M,15,1,0,1,0,2,0,0,0,0,0
Ki Sung-Yeung,Corea del Sur,29,M,395,5,5,0,4,0,0,0,0,0,0
Lee Chung-Yong,Corea del Sur,29,M,56,1,1,0,1,1,0,0,0,0,0
Ko Yo-Han,Corea del Sur,30,M,213,3,3,0,3,4,0,0,0,0,0
Kim Seong-Jun,Corea del Sur,30,M,132,3,1,2,1,2,0,0,0,0,0
Kim Min-Woo,Corea del Sur,28,M,278,5,2,3,0,4,0,0,0,0,0
Koo Ja-Cheol,Corea del Sur,29,M,184,3,2,1,1,4,0,0,0,0,0
Lee Seung-Ki,Corea del Sur,30,M,144,3,2,1,2,1,0,1,0,0,0
Jung Woo-Young,Corea del Sur,28,M,533,7,6,1,2,3,0,1,1,0,0
Moon Seon-Min,Corea del Sur,26,M,90,3,1,2,1,3,1,0,0,0,0
Ju Se-Jong,Corea del Sur,27,M,105,2,1,1,0,3,0,0,0,0,0
Lee Chang-Min,Corea del Sur,24,M,96,4,1,3,1,3,1,0,0,0,0
Son Joon-Ho,Corea del Sur,26,M,71,3,1,2,1,2,0,0,0,0,0
Lee Jae-Sung II,Corea del Sur,25,M,591,8,6,2,2,2,1,0,0,0,0
Lee Chan-Dong,Corea del Sur,25,M,180,2,2,0,1,1,0,0,1,0,0
Lee Keun-Ho,Corea del Sur,33,A,190,3,2,1,2,3,0,0,0,0,0
Kim Shin-Wook,Corea del Sur,30,A,527,9,5,4,1,4,4,0,0,0,0
Son Heung-Min,Corea del Sur,25,A,453,6,5,1,2,1,1,1,0,0,0
Jin Sung-Wook,Corea del Sur,24,A,72,2,1,1,1,2,0,0,0,0,0
Kim Seung-Dae,Corea del Sur,27,A,116,3,1,2,1,2,0,0,0,0,0
Kwon Chang-Hoon,Corea del Sur,23,A,152,2,2,0,1,0,1,0,0,0,0
Hwang Hee-Chan,Corea del Sur,22,A,340,5,3,2,1,3,1,2,0,0,0
Lee Seung-Woo,Corea del Sur,20,A,245,4,3,1,2,1,0,1,0,0,0
S. Mignolet,Belgica,30,G,90,1,1,0,0,2,0,0,0,0,0
T. Courtois,Belgica,26,G,270,3,3,0,0,0,0,0,0,0,0
K. Casteels,Belgica,25,G,0,0,0,0,0,4,0,0,0,0,0
M. Sels,Belgica,26,G,0,0,0,0,0,2,0,0,0,0,0
V. Kompany,Belgica,32,D,101,2,2,0,2,0,0,0,0,0,0
T. Vermaelen,Belgica,32,D,44,1,0,1,0,1,0,0,0,0,0
J. Vertonghen,Belgica,31,D,351,4,4,0,1,0,0,0,0,0,0
L. Ciman,Belgica,32,D,90,1,1,0,0,3,0,0,0,0,0
T. Alderweireld,Belgica,29,D,360,4,4,0,0,0,0,0,0,0,0
T. Meunier,Belgica,26,D,296,4,4,0,2,0,0,0,0,0,0
D. Boyata,Belgica,27,D,110,3,1,2,1,3,0,0,0,0,0
J. Lukaku,Belgica,23,D,0,0,0,0,0,1,0,0,0,0,0
M. Demb�l�,Belgica,30,M,72,3,1,2,1,3,0,0,0,0,0
M. Fellaini,Belgica,30,M,88,2,0,2,0,4,1,0,0,0,0
A. Witsel,Belgica,29,M,226,3,3,0,1,0,0,0,0,0,0
R. Nainggolan,Belgica,30,M,31,1,0,1,0,1,0,0,0,0,0
N. Chadli,Belgica,28,M,132,3,0,3,0,3,0,1,0,0,0
K. De Bruyne,Belgica,26,M,335,4,4,0,2,0,1,2,0,0,0
T. Hazard,Belgica,25,M,55,3,0,3,0,4,0,0,0,0,0
Y. Carrasco,Belgica,24,M,272,4,4,0,2,0,0,1,0,0,0
L. Dendoncker,Belgica,23,M,24,1,0,1,0,3,0,0,0,0,0
A. Januzaj,Belgica,23,M,88,2,0,2,0,3,0,0,0,0,0
Y. Tielemans,Belgica,21,M,19,1,0,1,0,4,0,0,0,0,0
K. Mirallas,Belgica,30,A,11,1,0,1,0,1,0,0,0,0,0
E. Hazard,Belgica,27,A,255,4,4,0,4,0,1,2,0,0,0
D. Mertens,Belgica,31,A,203,4,4,0,4,0,1,1,0,0,0
C. Benteke,Belgica,27,A,44,1,0,1,0,1,0,0,0,0,0
R. Lukaku,Belgica,25,A,236,4,4,0,4,0,5,2,0,0,0
A. Limbombe,Belgica,23,A,44,1,0,1,0,1,0,0,0,0,0
M. Batshuayi,Belgica,24,A,113,3,0,3,0,4,2,1,0,0,0
D. Origi,Belgica,23,A,0,0,0,0,0,1,0,0,0,0,0
J. Penedo,Panama,36,G,270,3,3,0,0,0,0,0,0,0,
J. Calder�n,Panama,32,G,180,2,2,0,0,3,0,0,0,0,
A. Rodr�guez,Panama,27,G,0,0,0,0,0,5,0,0,0,0,
F. Baloy,Panama,37,D,166,2,2,0,1,2,0,1,0,0,
R. Torres,Panama,32,D,162,3,2,1,1,2,0,0,0,0,
A. Machado,Panama,33,D,316,4,4,0,1,0,0,0,0,0,
E. Davis,Panama,27,D,180,2,2,0,0,1,0,0,0,0,
H. Cummings,Panama,26,D,122,2,1,1,0,3,0,0,0,0,
L. Ovalle,Panama,29,D,180,2,2,0,0,2,0,0,0,0,
S. Ortega,Panama,27,D,90,1,1,0,0,0,0,0,0,0,
R. Peralta,Panama,24,D,90,1,1,0,0,0,0,0,0,0,
F. Escobar,Panama,23,D,270,3,3,0,0,0,0,0,0,0,
F. Palacios,Panama,27,D,90,1,1,0,0,0,0,0,0,0,
C. Hormechea,Panama,22,D,90,1,1,0,0,0,0,0,0,0,
M. Murillo,Panama,22,D,180,3,2,1,1,2,0,1,0,0,
R. Avila,Panama,21,D,90,2,1,1,1,3,0,0,0,0,
G. G�mez,Panama,34,M,241,4,3,1,2,1,0,0,0,0,
A. Cooper,Panama,30,M,206,4,2,2,1,2,0,1,0,0,
A. Quintero,Panama,30,M,152,3,1,2,1,2,0,1,0,0,
A. Godoy,Panama,28,M,316,4,4,0,1,0,0,1,0,0,
R. Botello,Panama,26,M,0,0,0,0,0,1,0,0,0,0,
M. Camargo,Panama,25,M,78,2,1,1,1,2,0,0,0,0,
E. B�rcenas,Panama,24,M,269,4,3,1,2,1,0,1,0,0,
J. N��ez,Panama,25,M,90,1,1,0,0,0,1,0,0,0,
L. Heraldez,Panama,25,M,46,1,1,0,1,0,0,0,0,0,
O. Villareal,Panama,23,M,0,0,0,0,0,1,0,0,0,0,
V. Pimentel,Panama,27,M,209,4,2,2,1,3,0,0,0,0,
A. Carrasquilla,Panama,19,M,0,0,0,0,0,1,0,0,0,0,
Jos� Rodriguez,Panama,19,M,106,2,2,0,2,0,0,0,0,0,
L. Tejada,Panama,36,A,46,1,1,0,1,2,0,0,0,0,
B. P�rez,Panama,37,A,168,3,2,1,1,1,0,0,0,1,
G. Torres,Panama,29,A,90,2,1,1,1,3,0,0,0,0,
R. Nurse,Panama,34,A,44,1,0,1,0,3,0,0,0,0,
O. Browne,Panama,24,A,58,1,1,0,1,0,0,0,0,0,
A. Arroyo,Panama,24,A,13,1,0,1,0,4,0,0,0,0,
I. D�az,Panama,21,A,62,2,0,2,0,2,0,0,0,0,
A. Palacios,Panama,23,A,44,1,0,1,0,1,0,0,0,0,
C. Small,Panama,23,A,90,1,1,0,0,0,0,0,0,0,
J. Gonz�lez,Panama,21,A,32,1,0,1,0,1,0,0,0,0,
R. Dinolis,Panama,23,A,0,0,0,0,0,1,0,0,0,0,
J. Fajardo,Panama,24,A,90,1,1,0,0,0,0,0,0,0,
A. Mathlouthi,Tunez,33,G,90,1,1,0,0,4,0,0,0,0,0
F. Ben Mustapha,Tunez,28,G,90,1,1,0,0,4,0,0,0,0,0
M. Ben Cherifia,Tunez,26,G,0,0,0,0,0,2,0,0,0,0,0
M. Hassen,Tunez,23,G,270,3,3,0,0,2,0,0,0,0,0
Y. Benalouane,Tunez,31,D,192,4,2,2,0,3,0,0,0,0,0
K. Chemmam,Tunez,30,D,0,0,0,0,0,2,0,0,0,0,0
S. Ben Youssef,Tunez,29,D,270,3,3,0,0,2,0,0,0,0,0
A. Ma�loul,Tunez,28,D,270,5,4,1,4,1,0,1,0,0,0
O. Haddadi,Tunez,26,D,180,5,1,4,1,4,0,0,0,0,0
B. Mohsni,Tunez,30,D,0,0,0,0,0,1,0,0,0,0,0
R. Bedoui,Tunez,28,D,0,0,0,0,0,4,0,0,0,0,0
H. Nagguez,Tunez,25,D,104,2,1,1,0,4,0,0,0,0,0
D. Bronn,Tunez,22,D,302,4,4,0,3,0,0,0,1,0,0
K. Aouadhi,Tunez,32,M,0,0,0,0,0,2,0,0,0,0,0
M. Larbi,Tunez,30,M,0,0,0,0,0,2,0,0,0,0,0
N. Sliti,Tunez,25,M,355,5,5,0,5,0,0,0,0,0,0
F. Sassi,Tunez,26,M,450,5,5,0,0,0,1,0,1,0,0
A. Marzouki,Tunez,28,M,0,0,0,0,0,2,0,0,0,0,0
E. Skhiri,Tunez,23,M,430,5,5,0,1,0,0,0,0,0,0
S. Khaoui,Tunez,23,M,266,5,5,0,5,0,0,0,1,0,0
A. Khalil,Tunez,23,M,44,1,0,1,0,5,0,0,0,0,0
Y. Meriah,Tunez,24,M,450,5,5,0,0,0,0,0,0,0,0
M. Ben Amor,Tunez,26,M,111,3,1,2,1,2,0,0,0,0,0
G. Chalali,Tunez,24,M,31,2,0,2,0,3,0,0,0,0,0
B. Srarfi,Tunez,20,M,58,5,0,5,0,5,0,1,2,0,0
S. Khalifa,Tunez,31,A,103,3,1,2,1,2,0,0,0,0,0
Y. Msakni,Tunez,27,A,0,0,0,0,0,2,0,0,0,0,0
A. Aka�chi,Tunez,29,A,3,1,0,1,0,1,0,0,0,0,0
W. Khazri,Tunez,27,A,156,2,2,0,2,1,1,0,2,0,0
A. Badri,Tunez,27,A,384,5,4,1,3,1,2,0,0,0,0
Y. Khenissi,Tunez,26,A,52,2,0,2,0,2,0,0,0,0,0
F. Ben Youssef,Tunez,26,A,284,5,2,3,2,3,1,0,0,0,0
G. Ayadi,Tunez,21,A,5,1,0,1,0,2,0,0,0,0,0
J. Hart,Inglaterra,31,G,0,0,0,0,0,2,0,0,0,0,0
T. Heaton,Inglaterra,32,G,0,0,0,0,0,2,0,0,0,0,0
J. Pickford,Inglaterra,24,G,180,2,2,0,0,2,0,0,0,0,0
J. Butland,Inglaterra,25,G,155,2,2,0,1,2,0,0,0,0,0
N. Pope,Inglaterra,26,G,25,1,0,1,0,4,0,0,0,0,0
A. Young,Inglaterra,32,D,177,3,2,1,1,2,0,0,1,0,0
G. Cahill,Inglaterra,32,D,115,2,1,1,0,1,1,0,0,0,0
D. Rose,Inglaterra,27,D,213,4,2,2,1,2,0,0,0,0,0
K. Walker,Inglaterra,28,D,270,3,3,0,0,1,0,0,1,0,0
P. Jones,Inglaterra,26,D,90,1,1,0,0,0,0,0,0,0,0
K. Trippier,Inglaterra,27,D,266,4,3,1,1,1,0,1,0,0,0
J. Tarkowski,Inglaterra,25,D,90,1,1,0,0,1,0,0,0,0,0
H. Maguire,Inglaterra,25,D,169,2,1,1,1,3,0,0,0,0,0
J. Stones,Inglaterra,24,D,318,4,4,0,2,0,0,0,0,0,0
A. Mawson,Inglaterra,24,D,0,0,0,0,0,2,0,0,0,0,0
J. Gomez,Inglaterra,21,D,10,1,1,0,1,0,0,0,0,0,0
T. Alexander-Arnold,Inglaterra,19,D,64,1,1,0,1,0,0,0,0,0,0
A. Lallana,Inglaterra,30,M,30,1,0,1,0,4,0,0,0,0,0
J. Henderson,Inglaterra,27,M,171,3,2,1,1,1,0,0,0,0,0
J. Livermore,Inglaterra,28,M,0,0,0,0,0,4,0,0,0,0,0
F. Delph,Inglaterra,28,M,98,2,1,1,0,1,0,0,0,0,0
A. Oxlade-Chamberlain,Inglaterra,24,M,150,2,2,0,1,0,0,0,1,0,0
D. Alli,Inglaterra,22,M,130,3,1,2,1,3,0,1,0,0,0
J. Lingard,Inglaterra,25,M,217,4,3,1,3,1,1,1,0,0,0
E. Dier,Inglaterra,24,M,181,3,2,1,0,2,0,0,0,0,0
R. Loftus-Cheek,Inglaterra,22,M,102,2,1,1,1,1,0,1,0,0,0
L. Cook,Inglaterra,21,M,19,1,0,1,0,2,0,0,0,0,0
D. Welbeck,Inglaterra,27,A,68,3,0,3,0,4,1,0,0,0,0
H. Kane,Inglaterra,24,A,73,1,1,0,1,1,1,0,0,0,0
J. Vardy,Inglaterra,31,A,153,3,2,1,2,2,1,0,0,0,0
R. Sterling,Inglaterra,23,A,231,3,3,0,2,1,0,0,1,0,0
M. Rashford,Inglaterra,20,A,195,4,2,2,1,2,1,0,0,0,0
Jos� Cuadrado,Colombia,33,G,0,0,0,0,0,1,0,0,0,0,0
D. Ospina,Colombia,29,G,270,3,3,0,0,0,0,0,0,0,0
C. Vargas,Colombia,29,G,0,0,0,0,0,3,0,0,0,0,0
C. Zapata,Colombia,31,D,90,1,1,0,0,1,0,0,0,0,0
B. Espinosa,Colombia,28,D,0,0,0,0,0,2,0,0,0,0,0
O. Murillo,Colombia,30,D,97,2,1,1,1,2,0,0,0,0,0
S. Arias,Colombia,26,D,270,3,3,0,0,0,0,0,0,0,0
W. Tesillo,Colombia,28,D,0,0,0,0,0,1,0,0,0,0,0
F. Fabra,Colombia,27,D,136,2,2,0,1,1,0,0,0,0,0
J. Mojica,Colombia,25,D,134,2,1,1,0,2,0,0,0,0,0
Y. Mina,Colombia,23,D,173,3,2,1,1,1,0,0,1,0,0
D. S�nchez,Colombia,22,D,180,2,2,0,0,1,0,0,0,0,0
A. Aguilar,Colombia,33,M,113,2,2,0,2,0,0,0,1,0,0
C. S�nchez,Colombia,32,M,180,2,2,0,0,1,0,0,0,0,0
G. Moreno,Colombia,31,M,7,1,0,1,0,2,0,0,0,0,0
Juan Cuadrado,Colombia,30,M,46,1,1,0,1,0,0,0,0,0,0
J. Rodr�guez,Colombia,26,M,256,3,3,0,2,0,0,2,0,0,0
J. Quintero,Colombia,25,M,34,2,0,2,0,3,1,0,0,0,0
M. Uribe,Colombia,27,M,223,3,3,0,3,0,0,0,0,0,0
W. Barrios,Colombia,24,M,90,2,1,1,0,2,0,0,0,0,0
V. Cantillo,Colombia,26,M,0,0,0,0,0,2,0,0,0,0,0
J. Lerma,Colombia,23,M,148,3,1,2,1,2,0,0,0,0,0
R. Falcao,Colombia,32,A,180,3,3,0,3,0,1,0,0,0,0
D. Zapata,Colombia,27,A,22,1,0,1,0,2,0,0,0,0,0
C. Bacca,Colombia,31,A,99,2,1,1,1,2,0,0,0,0,0
L. Muriel,Colombia,27,A,77,1,1,0,1,2,1,0,0,0,0
J. Izquierdo,Colombia,25,A,72,3,0,3,0,3,0,0,0,0,0
Y. Char�,Colombia,27,A,20,1,0,1,0,2,0,0,0,0,0
M. Borja,Colombia,25,A,53,2,0,2,0,3,0,0,0,0,0
E. Kawashima,Japon,35,G,270,3,3,0,0,2,0,0,0,0,0
M. Higashiguchi,Japon,32,G,46,1,1,0,1,4,0,0,0,0,0
K. Nakamura,Japon,23,G,134,2,1,1,0,4,0,0,0,0,0
T. Makino,Japon,31,D,360,4,4,0,1,1,1,0,0,0,0
M. Morishige,Japon,31,D,29,1,0,1,0,2,0,0,0,0,0
M. Yoshida,Japon,29,D,180,2,2,0,0,1,0,0,0,0,0
Y. Nagatomo,Japon,31,D,360,4,4,0,1,1,0,0,0,0,0
H. Sakai,Japon,28,D,78,2,0,2,0,3,0,0,0,0,0
G. Sakai,Japon,27,D,324,5,3,2,1,2,0,0,0,0,0
W. Endo,Japon,25,D,46,1,1,0,1,4,0,0,0,0,0
G. Sh?ji,Japon,25,D,180,2,2,0,0,3,0,0,0,0,0
N. Ueda,Japon,23,D,180,2,2,0,0,3,0,0,1,0,0
S. Kurumaya,Japon,26,D,0,0,0,0,0,2,0,0,0,0,0
M. Hasebe,Japon,34,M,307,4,4,0,3,1,0,0,1,0,0
T. Inui,Japon,30,M,114,2,1,1,1,2,2,0,0,0,0
K. Honda,Japon,32,M,221,4,3,1,3,2,0,0,0,0,0
S. Kagawa,Japon,29,M,147,3,1,2,0,2,1,2,0,0,0
G. Haraguchi,Japon,27,M,239,4,3,1,2,2,0,0,1,0,0
T. Usami,Japon,26,M,175,5,3,2,3,2,0,0,0,0,0
H. Yamaguchi,Japon,27,M,295,4,3,1,1,2,0,0,0,0,0
G. Shibasaki,Japon,26,M,220,4,2,2,1,3,0,1,1,0,0
T. Ugajin,Japon,30,M,46,1,0,1,1,1,0,0,1,0,0
R. Morioka,Japon,27,M,65,1,1,0,1,1,0,0,0,0,0
R. Oshima,Japon,25,M,194,3,3,0,2,2,0,0,1,0,0
T. Asano,Japon,23,M,0,0,0,0,0,1,0,0,0,0,0
K. Misao,Japon,22,M,39,2,0,2,0,3,0,1,0,0,0
Y. Ideguchi,Japon,21,M,14,1,0,1,0,1,0,0,0,0,0
S. Okazaki,Japon,32,A,105,2,1,1,1,2,0,0,0,0,0
Y. ?sako,Japon,28,A,203,4,3,1,2,2,0,1,0,0,0
K. Sugimoto,Japon,25,A,56,1,1,0,1,1,0,0,0,0,0
Y. Kobayashi,Japon,30,A,59,2,0,2,0,2,0,0,0,0,0
Y. Kubo,Japon,24,A,95,2,1,1,1,1,0,0,0,0,0
Y. Muto,Japon,25,A,157,3,1,2,1,2,0,0,0,0,0
S. Nakajima,Japon,23,A,41,2,0,2,0,2,1,0,0,0,0
?. Fabia?ski,Polonia,33,G,136,3,2,1,2,2,0,0,0,0,0
B. Bialkowski,Polonia,30,G,44,1,0,1,0,3,0,0,0,0,0
W. Szcz?sny,Polonia,28,G,136,3,2,1,2,2,0,0,0,0,0
?. Skorupski,Polonia,27,G,44,1,0,1,0,1,0,0,0,0,0
A. J?drzejczyk,Polonia,30,D,180,3,2,1,1,2,0,0,0,0,0
M. Pazdan,Polonia,30,D,217,3,2,1,0,1,0,0,0,0,0
?. Piszczek,Polonia,33,D,182,4,3,1,3,1,0,0,0,0,0
T. Cionek,Polonia,32,D,178,3,1,2,0,3,0,0,0,0,0
K. Glik,Polonia,30,D,157,2,2,0,1,1,0,0,0,0,0
M. Kami?ski,Polonia,26,D,90,1,1,0,0,2,0,0,0,0,0
B. Bereszy?ski,Polonia,25,D,98,2,1,1,0,1,0,1,0,0,0
T. K?dziora,Polonia,24,D,27,2,0,2,0,2,0,0,0,0,0
J. Bednarek,Polonia,22,D,143,2,2,0,1,0,0,0,0,0,0
J. B?aszczykowski,Polonia,32,M,110,2,1,1,0,1,1,0,0,0,0
M. Rybus,Polonia,28,M,236,3,3,0,3,0,0,1,1,0,0
S. Peszko,Polonia,33,M,0,0,0,0,0,2,0,0,0,0,0
K. M?czy?ski,Polonia,31,M,90,1,1,0,0,1,0,2,0,0,0
G. Krychowiak,Polonia,28,M,257,3,3,0,1,1,0,1,0,0,0
P. Zieli?ski,Polonia,24,M,283,4,3,1,0,1,2,0,0,0,0
J. G�ralski,Polonia,25,M,184,3,1,2,0,3,0,0,2,0,0
K. Linetty,Polonia,23,M,65,2,2,0,2,1,0,0,0,0,0
R. Kurzawa,Polonia,25,M,96,2,1,1,0,3,0,0,0,0,0
P. Frankowski,Polonia,23,M,86,1,1,0,1,1,0,0,0,0,0
T. Romanczuk,Polonia,26,M,61,1,1,0,1,1,0,0,0,0,0
K. Grosicki,Polonia,30,A,157,2,2,0,1,2,1,2,0,0,0
R. Lewandowski,Polonia,29,A,233,4,4,0,4,0,4,0,0,0,0
?. Teodorczyk,Polonia,27,A,104,3,0,3,0,4,0,0,0,0,0
J. ?wierczok,Polonia,25,A,23,1,0,1,0,2,0,0,0,0,0
A. Milik,Polonia,24,A,181,4,1,3,0,3,0,0,0,0,0
D. Kownacki,Polonia,21,A,162,2,2,0,1,1,1,0,0,0,0
A. Diallo,Senegal,26,G,180,2,2,0,0,2,0,0,0,0,0
K. N'Diaye,Senegal,33,G,180,2,2,0,0,1,0,0,0,0,0
A. Gomis,Senegal,24,G,0,0,0,0,0,5,0,0,0,0,0
Pape Seydou N'Diaye,Senegal,25,G,90,1,1,0,0,1,0,0,0,0,0
A. Traor�,Senegal,28,D,98,2,1,1,1,1,0,0,0,0,0
L. Gassama,Senegal,28,D,213,3,2,1,1,2,0,0,0,0,0
F. Diagne,Senegal,28,D,90,1,1,0,0,1,0,0,0,0,0
P. Souar�,Senegal,28,D,74,1,1,0,1,1,0,0,0,0,0
P. Djilobodji,Senegal,29,D,180,2,2,0,0,0,0,0,0,0,0
S. Ciss,Senegal,29,D,46,1,1,0,1,2,0,0,0,0,0
K. Koulibaly,Senegal,26,D,308,4,4,0,2,1,0,0,1,0,0
S. San�,Senegal,27,D,314,4,3,1,0,2,0,0,1,0,0
Y. Sabaly,Senegal,25,D,270,3,3,0,0,1,0,0,0,0,0
M. Wagu�,Senegal,19,D,188,3,2,1,0,3,0,0,0,0,0
H. Saivet,Senegal,27,M,96,2,1,1,1,1,0,0,0,0,0
A. N'Diaye,Senegal,28,M,342,5,4,1,2,1,0,1,1,0,0
C. Kouyat�,Senegal,28,M,180,2,2,0,0,1,0,0,0,0,0
I. Gueye,Senegal,28,M,134,2,2,0,2,1,0,0,0,0,0
K. Mbodji,Senegal,28,M,8,1,0,1,0,3,0,0,0,0,0
C. N'Doye,Senegal,32,M,116,4,1,3,0,4,0,0,0,0,0
Badou N'Diaye,Senegal,27,M,149,3,1,2,1,4,0,0,1,0,0
A. Diouss�,Senegal,20,M,90,1,1,0,0,0,0,0,0,0,0
M. Sow,Senegal,32,A,70,2,1,1,1,3,0,0,0,0,0
M. Diouf,Senegal,30,A,128,3,1,2,1,3,0,0,0,0,0
D. Sakho,Senegal,28,A,205,4,2,2,1,2,0,0,1,0,0
M. Niang,Senegal,23,A,223,4,3,1,2,2,0,0,1,0,0
S. N'Gom,Senegal,25,A,86,2,1,1,1,1,0,0,0,0,0
M. Konat�,Senegal,25,A,224,3,2,1,0,3,2,0,0,0,0
S. Man�,Senegal,26,A,267,3,3,0,1,1,0,0,1,0,0
O. Niasse,Senegal,28,A,66,1,1,0,1,1,0,0,0,0,0
K. Bald�,Senegal,23,A,73,2,1,1,1,2,0,0,0,0,0
I. Sarr,Senegal,20,A,262,5,3,2,2,2,1,0,0,0,0
