,Equipo,Jugador,Posición
0, Brazil, Jefferson,Goalkeeper
1, Brazil, Julio Cesar,Goalkeeper
2, Brazil, Victor,Goalkeeper
3, Brazil,Dani Alves,Defender
4, Brazil,Thiago Silva,Defender
5, Brazil, David Luiz,Defender
6, Brazil, Marcelo,Defender
7, Brazil, Dante,Defender
8, Brazil, Maxwell,Defender
9, Brazil, Henrique,Defender
10, Brazil, Maicon,Defender
11, Brazil, Fernandinho,Midfielder
12, Brazil, Paulinho,Midfielder
13, Brazil, Oscar,Midfielder
14, Brazil, Ramires,Midfielder
15, Brazil, Luiz Gustavo,Midfielder
16, Brazil, Hernanes,Midfielder
17, Brazil, Willian,Midfielder
18, Brazil, Bernard,Midfielder
19, Brazil, Hulk,Forward
20, Brazil, Fred,Forward
21, Brazil, Neymar,Forward
22, Brazil, Jo,Forward
23, Cameroon,Loïc Feudjou,Goalkeeper
24, Cameroon,Charles Itandje,Goalkeeper
25, Cameroon,Sammy Ndjock,Goalkeeper
26, Cameroon,Benoit Assou-Ekotto,Defender
27, Cameroon,Nicolas N'koulou,Defender
28, Cameroon,Cedric Djeugoue,Defender
29, Cameroon,Dany Nounkeu,Defender
30, Cameroon,Henri Bedimo,Defender
31, Cameroon,Aurelien Chedjou,Defender
32, Cameroon,Stephane Mbia,Defender
33, Cameroon, Nyom,Defender
34, Cameroon,Alexandre Song,Midfielder
35, Cameroon,Landry N'Guémo,Midfielder
36, Cameroon,Jean Makoun,Midfielder
37, Cameroon,Eyong Enoh,Midfielder
38, Cameroon,Joel Matip,Midfielder
39, Cameroon,Benjamin Moukandjo,Forward
40, Cameroon,Samuel Eto'o,Forward
41, Cameroon,Vincent Aboubakar,Forward
42, Cameroon,Eric Choupo Moting,Forward
43, Cameroon,Pierre Webo,Forward
44, Cameroon,Fabrice Olinga,Forward
45, Cameroon,Edgar Salli,Forward
46, Croatia,Stipe Pletikosa,Goalkeeper
47, Croatia,Oliver Zelenika,Goalkeeper
48, Croatia,Danijel Subasic,Goalkeeper
49, Croatia,Sime Vrsaljko,Defender
50, Croatia,Danijel Pranjic,Defender
51, Croatia,Vedran Corluka,Defender
52, Croatia,Dejan Lovren,Defender
53, Croatia,Darijo Srna,Defender
54, Croatia,Gordon Schildenfeld,Defender
55, Croatia,Domagoj Vida,Defender
56, Croatia,Ivan Perisic,Midfielder
57, Croatia,Ivan Rakitic,Midfielder
58, Croatia,Ognjen Vukojevic,Midfielder
59, Croatia,Luka Modric,Midfielder
60, Croatia,Marcelo Brozovic,Midfielder
61, Croatia,Milan Badelj,Midfielder
62, Croatia, Sammir,Midfielder
63, Croatia,Mateo Kovacic,Midfielder
64, Croatia,Nikica Jelavic,Forward
65, Croatia,Ante Rebic,Forward
66, Croatia,Mario Mandzukic,Forward
67, Croatia,Ivica Olic,Forward
68, Croatia, Eduardo,Forward
69, Mexico,Jesús Corona,Goalkeeper
70, Mexico,Alfredo Talavera,Goalkeeper
71, Mexico,Guillermo Ochoa,Goalkeeper
72, Mexico,Francisco Rodriguez,Defender
73, Mexico,Carlos Salcido,Defender
74, Mexico,Rafael Marquez,Defender
75, Mexico,Diego Reyes,Defender
76, Mexico,Miguel Layún,Defender
77, Mexico,Hector Moreno,Defender
78, Mexico,Miguel Ponce,Defender
79, Mexico,Paul Aguilar,Defender
80, Mexico,Héctor Herrera,Midfielder
81, Mexico,Marco Fabián,Midfielder
82, Mexico,Giovani Dos Santos,Midfielder
83, Mexico,Isaác Brizuela,Midfielder
84, Mexico,Andres Guardado,Midfielder
85, Mexico,Javier Aquino,Midfielder
86, Mexico,Carlos Peña,Midfielder
87, Mexico,José Juan Vázquez,Midfielder
88, Mexico,Raúl Jiménez,Forward
89, Mexico,Alan Pulido,Forward
90, Mexico,Javier Hernandez,Forward
91, Mexico,Oribe Peralta,Forward
92, Australia,Matthew Ryan,Goalkeeper
93, Australia,Mitchell Langerak,Goalkeeper
94, Australia,Eugene Galekovic,Goalkeeper
95, Australia,Ivan Franjic,Defender
96, Australia,Jason Davidson,Defender
97, Australia,Matthew Spiranovic,Defender
98, Australia,Bailey Wright,Defender
99, Australia,Ryan McGowan,Defender
100, Australia,Alex Wilkinson,Defender
101, Australia,Mark Milligan,Midfielder
102, Australia,Ben Halloran,Midfielder
103, Australia,Tommy Oar,Midfielder
104, Australia,Oliver Bozanic,Midfielder
105, Australia,James Troisi,Midfielder
106, Australia,Mile Jedinak,Midfielder
107, Australia,James Holland,Midfielder
108, Australia,Matt McKay,Midfielder
109, Australia,Dario Vidosic,Midfielder
110, Australia,Massimo Luongo,Midfielder
111, Australia,Mark Bresciano,Midfielder
112, Australia,Tim Cahill,Forward
113, Australia,Mathew Leckie,Forward
114, Australia,Adam Taggart,Forward
115, Chile,Claudio Bravo,Goalkeeper
116, Chile,Cristopher Toselli,Goalkeeper
117, Chile,Johnny Herrera,Goalkeeper
118, Chile,Eugenio Mena,Defender
119, Chile,Miiko Albornoz,Defender
120, Chile,Mauricio Isla,Defender
121, Chile,José Rojas,Defender
122, Chile,Gary Medel,Defender
123, Chile,Gonzalo Jara,Defender
124, Chile,Francisco Silva,Midfielder
125, Chile,Carlos Carmona,Midfielder
126, Chile,Arturo Vidal,Midfielder
127, Chile,Jorge Valdivia,Midfielder
128, Chile,Jean Beausejour,Midfielder
129, Chile,Felipe Gutierrez,Midfielder
130, Chile,José Fuenzalida,Midfielder
131, Chile,Charles Aránguiz,Midfielder
132, Chile,Marcelo Díaz,Midfielder
133, Chile,Alexis Sanchez,Forward
134, Chile,Mauricio Pinilla,Forward
135, Chile,Eduardo Vargas,Forward
136, Chile,Fabian Orellana,Forward
137, Chile,Esteban Paredes,Forward
138, Holland,Jasper Cillessen,Goalkeeper
139, Holland,Michel Vorm,Goalkeeper
140, Holland,Tim Krul,Goalkeeper
141, Holland,Ron Vlaar,Defender
142, Holland,Stefan de Vrij,Defender
143, Holland,Bruno Martins Indi,Defender
144, Holland,Daley Blind,Defender
145, Holland,Daryl Janmaat,Defender
146, Holland,Paul Verhaegh,Defender
147, Holland,Joël Veltman,Defender
148, Holland,Terence Kongolo,Defender
149, Holland,Nigel De Jong,Midfielder
150, Holland,Jonathan de Guzmán,Midfielder
151, Holland,Wesley Sneijder,Midfielder
152, Holland,Jordy Clasie,Midfielder
153, Holland,Leroy Fer,Midfielder
154, Holland,Georginio Wijnaldum,Midfielder
155, Holland,Robin Van Persie,Forward
156, Holland,Arjen Robben,Forward
157, Holland,Dirk Kuyt,Forward
158, Holland,Jeremain Lens,Forward
159, Holland,Klaas Jan Huntelaar,Forward
160, Holland,Memphis Depay,Forward
161, Spain,Iker Casillas,Goalkeeper
162, Spain,David de Gea,Goalkeeper
163, Spain,Pepe Reina,Goalkeeper
164, Spain,Raul Albiol,Defender
165, Spain,Gerard Piqué,Defender
166, Spain, Juanfran,Defender
167, Spain, Sergio Ramos,Defender
168, Spain,Jordi Alba,Defender
169, Spain,César Azpilicueta,Defender
170, Spain,Javi Martinez,Midfielder
171, Spain,Andrés Iniesta,Midfielder
172, Spain, Xavi,Midfielder
173, Spain,Cesc Fabregas,Midfielder
174, Spain, Xabi Alonso,Midfielder
175, Spain,Sergio Busquets,Midfielder
176, Spain, Koke,Midfielder
177, Spain,Santiago Cazorla,Midfielder
178, Spain, David Silva,Midfielder
179, Spain,David Villa,Forward
180, Spain,Fernando Torres,Forward
181, Spain, Pedro,Forward
182, Spain,Juan Mata,Forward
183, Spain,Diego Costa,Forward
184, Colombia,David Ospina,Goalkeeper
185, Colombia,Camilo Vargas,Goalkeeper
186, Colombia,Farid Mondragon,Goalkeeper
187, Colombia,Cristian Zapata,Defender
188, Colombia,Mario Yepes,Defender
189, Colombia,Santiago Arias,Defender
190, Colombia,Pablo Armero,Defender
191, Colombia,Eder Alvarez Balanta,Defender
192, Colombia,Juan Zuñiga,Defender
193, Colombia,Carlos Valdés,Defender
194, Colombia,Carlos Carbonero,Midfielder
195, Colombia,Carlos Sánchez,Midfielder
196, Colombia,Abel Aguilar,Midfielder
197, Colombia,James Rodríguez,Midfielder
198, Colombia,Juan Guillermo Cuadrado,Midfielder
199, Colombia,Fredy Guarín,Midfielder
200, Colombia,Víctor Ibarbo,Midfielder
201, Colombia,Alexander Mejía,Midfielder
202, Colombia,Juan Quintero,Midfielder
203, Colombia,Teófilo Gutiérrez,Forward
204, Colombia,Carlos Bacca,Forward
205, Colombia,Adrián Ramos,Forward
206, Colombia,Jackson Martinez,Forward
207, Greece,Orestis Karnezis,Goalkeeper
208, Greece,Panagiotis Glykos,Goalkeeper
209, Greece,Stefanos Kapino,Goalkeeper
210, Greece,Giorgios Tzavellas,Defender
211, Greece,Kostas Manolas,Defender
212, Greece,Vangelis Moras,Defender
213, Greece,Loukas Vyntra,Defender
214, Greece,Vasileios Torosidis,Defender
215, Greece,Sokratis Papastathopoulos,Defender
216, Greece,José Holebas,Defender
217, Greece,Giannis Maniatis,Midfielder
218, Greece,Alexandros Tziolis,Midfielder
219, Greece,Panagiotis Kone,Midfielder
220, Greece,Georgios Karagounis,Midfielder
221, Greece,Lazaros Christodoulopoulos,Midfielder
222, Greece,Ioannis Fetfatzidis,Midfielder
223, Greece,Konstantinos Katsouranis,Midfielder
224, Greece,Andreas Samaris,Midfielder
225, Greece,Panagiotis Tachtsidis,Midfielder
226, Greece,Georgios Samaras,Forward
227, Greece,Kostas Mitroglou,Forward
228, Greece,Dimitrios Salpingidis,Forward
229, Greece,Theofanis Gekas,Forward
230, Ivory Coast,Boubacar Barry,Goalkeeper
231, Ivory Coast,Sylvain Gbohouo,Goalkeeper
232, Ivory Coast,Sayouba Mandé,Goalkeeper
233, Ivory Coast,Ousmane Viera,Defender
234, Ivory Coast,Arthur Boka,Defender
235, Ivory Coast,Kolo Toure,Defender
236, Ivory Coast,Jean-Daniel Akpa-Akpro,Defender
237, Ivory Coast,Serge Aurier,Defender
238, Ivory Coast,Constant Djakpa,Defender
239, Ivory Coast,Souleymane Bamba,Defender
240, Ivory Coast,Didier Zokora,Midfielder
241, Ivory Coast,Mathis Bolly,Midfielder
242, Ivory Coast,Ismael Tiote,Midfielder
243, Ivory Coast,Ismael Diomande,Midfielder
244, Ivory Coast,Max Gradel,Midfielder
245, Ivory Coast,Yaya Toure,Midfielder
246, Ivory Coast,Serey Die,Midfielder
247, Ivory Coast,Salomon Kalou,Forward
248, Ivory Coast, Gervinho,Forward
249, Ivory Coast,Didier Drogba,Forward
250, Ivory Coast,Wilfried Bony,Forward
251, Ivory Coast,Didier Ya Konan,Forward
252, Ivory Coast,Giovanni Sio,Forward
253, Japan,Eiji Kawashima,Goalkeeper
254, Japan,Shusaku Nishikawa,Goalkeeper
255, Japan,Shuichi Gonda,Goalkeeper
256, Japan,Atsuto Uchida,Defender
257, Japan,Gotoku Sakai,Defender
258, Japan,Yuto Nagatomo,Defender
259, Japan,Masato Morishige,Defender
260, Japan,Toshihiro Aoyama,Defender
261, Japan,Yasuyuki Konno,Defender
262, Japan,Masahiko Inoha,Defender
263, Japan,Hiroki Sakai,Defender
264, Japan,Maya Yoshida,Defender
265, Japan,Yasuhito Endo,Midfielder
266, Japan,Hiroshi Kiyotake,Midfielder
267, Japan,Shinji Kagawa,Midfielder
268, Japan,Hotaru Yamaguchi,Midfielder
269, Japan,Makoto Hasebe,Midfielder
270, Japan,Keisuke Honda,Forward
271, Japan,Shinji Okazaki,Forward
272, Japan,Yoichiro Kakitani,Forward
273, Japan,Yoshito Okubo,Forward
274, Japan,Yuya Osako,Forward
275, Japan,Manabu Saito,Forward
276, Costa Rica,Keylor Navas,Goalkeeper
277, Costa Rica,Patrick Pemberton,Goalkeeper
278, Costa Rica,Daniel Cambronero,Goalkeeper
279, Costa Rica,Johnny Acosta,Defender
280, Costa Rica,Giancarlo Gonzalez,Defender
281, Costa Rica,Michael Umaña,Defender
282, Costa Rica,Óscar Duarte,Defender
283, Costa Rica,David Myrie,Defender
284, Costa Rica,Waylon Francis,Defender
285, Costa Rica,Júnior Díaz,Defender
286, Costa Rica,Cristian Gamboa,Defender
287, Costa Rica,Roy Miller,Defender
288, Costa Rica,Celso Borges,Midfielder
289, Costa Rica,Christian Bolaños,Midfielder
290, Costa Rica,Michael Barrantes,Midfielder
291, Costa Rica,Esteban Granados,Midfielder
292, Costa Rica,Yeltsin Tejeda,Midfielder
293, Costa Rica,Diego Calvo,Midfielder
294, Costa Rica,José Cubero,Midfielder
295, Costa Rica,Joel Campbell,Forward
296, Costa Rica,Bryan Ruiz,Forward
297, Costa Rica,Randall Brenes,Forward
298, Costa Rica,Marcos Ureña,Forward
299, England,Joe Hart,Goalkeeper
300, England,Ben Foster,Goalkeeper
301, England,Fraser Forster,Goalkeeper
302, England,Glen Johnson,Defender
303, England,Leighton Baines,Defender
304, England,Gary Cahill,Defender
305, England,Phil Jagielka,Defender
306, England,Chris Smalling,Defender
307, England,Phil Jones,Defender
308, England,Luke Shaw,Defender
309, England,Steven Gerrard,Midfielder
310, England,Jack Wilshere,Midfielder
311, England,Frank Lampard,Midfielder
312, England,Jordan Henderson,Midfielder
313, England,Alex Oxlade-Chamberlain,Midfielder
314, England,James Milner,Midfielder
315, England,Adam Lallana,Midfielder
316, England,Ross Barkley,Midfielder
317, England,Daniel Sturridge,Forward
318, England,Wayne Rooney,Forward
319, England,Danny Welbeck,Forward
320, England,Rickie Lambert,Forward
321, England,Raheem Sterling,Forward
322, Italy,Gianluigi Buffon,Goalkeeper
323, Italy,Salvatore Sirigu,Goalkeeper
324, Italy,Mattia Perin,Goalkeeper
325, Italy,Mattia De Sciglio,Defender
326, Italy,Giorgio Chiellini,Defender
327, Italy,Matteo Darmian,Defender
328, Italy,Ignazio Abate,Defender
329, Italy,Andrea Barzagli,Defender
330, Italy,Leonardo Bonucci,Defender
331, Italy,Gabriel Paletta,Defender
332, Italy,Thiago Motta,Midfielder
333, Italy,Antonio Candreva,Midfielder
334, Italy,Claudio Marchisio,Midfielder
335, Italy,Alberto Aquilani,Midfielder
336, Italy,Daniele De Rossi,Midfielder
337, Italy,Marco Parolo,Midfielder
338, Italy,Andrea Pirlo,Midfielder
339, Italy,Marco Verratti,Midfielder
340, Italy,Mario Balotelli,Forward
341, Italy,Antonio Cassano,Forward
342, Italy,Alessio Cerci,Forward
343, Italy,Ciro Immobile,Forward
344, Italy,Lorenzo Insigne,Forward
345, Uruguay,Fernando Muslera,Goalkeeper
346, Uruguay,Rodrigo Muñoz,Goalkeeper
347, Uruguay,Martin Silva,Goalkeeper
348, Uruguay,Diego Lugano,Defender
349, Uruguay,Diego Godin,Defender
350, Uruguay,Jorge Fucile,Defender
351, Uruguay,José María Giménez,Defender
352, Uruguay,Maximiliano Pereira,Defender
353, Uruguay,Sebastián Coates,Defender
354, Uruguay,Martin Caceres,Defender
355, Uruguay,Walter Gargano,Midfielder
356, Uruguay,Alvaro Pereira,Midfielder
357, Uruguay,Cristian Rodríguez,Midfielder
358, Uruguay,Nicolas Lodeiro,Midfielder
359, Uruguay,Diego Perez,Midfielder
360, Uruguay,Egidio Arevalo,Midfielder
361, Uruguay,Gastón Ramírez,Midfielder
362, Uruguay,Alvaro González,Midfielder
363, Uruguay,Abel Hernández,Forward
364, Uruguay,Luis Suarez,Forward
365, Uruguay,Diego Forlan,Forward
366, Uruguay,Christian Stuani,Forward
367, Uruguay,Edinson Cavani,Forward
368, Ecuador,Máximo Banguera,Goalkeeper
369, Ecuador,Adrian Bone,Goalkeeper
370, Ecuador,Alexander Domínguez,Goalkeeper
371, Ecuador,Jorge Guagua,Defender
372, Ecuador,Frickson Erazo,Defender
373, Ecuador,Juan Carlos Paredes,Defender
374, Ecuador,Walter Ayovi,Defender
375, Ecuador,Óscar Bagüí,Defender
